epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
0, 0.41950, 0.10630, 0.88672, 0.96405, 0.32979
1, 0.25560, 0.08263, 0.91406, 0.97261, 0.47510
